ifc_id,time_of_concentration,area,slope,soil1,soil2,soil3,soil4,soil5,soil6,soil7,soil8,soil9,soil10,soil11,soil12
519,43.99999999,403,0.002545,0,0,0,0.57847885,0,0.420830665,0.000690486,0,0,0,0,0
521,25.99999999,219,0.00432,0,0,0,0.00075658,0,0.99924342,0,0,0,0,0,0
522,9,34,0.002245,0,0,0,0.001128748,0,0.998871252,0,0,0,0,0,0
523,22.99999999,177,0.00201,0,0,0,0.894019822,0,0.103501073,0.002479104,0,0,0,0,0
525,37.99999999,351,0.003575,0,0,0,0.495864105,0,0.503482355,0,0,0,0,0,0
526,45,503,0.003275,0,0,0,0.141604947,0,0.857646596,0,0,0,0,0,0
527,43.00000001,347,0.00136,0,0,0,0.979104262,0,0.017901091,0.001993176,0,0.001001472,0,0,0
532,10.99999999,58,0.00141,0,0,0,0.003761643,0,0.894172304,0,0,0.102066053,0,0,0
534,33,225,0.001085,0,0,0,0.458204091,0,0.00263252,0.535296487,0,0.003866902,0,0,0
535,15,119,0.001915,0,0,0,0.007109106,0,0.3757652,0,0,0.617125695,0,0,0
536,12,57,0.00151,0,0,0,0.000157585,0,0.657731911,0,0,0.342110505,0,0,0
537,18,201,0.001705,0,0,0,0.004632567,0,0.939242245,0,0,0.056125189,0,0,0
538,13.00000001,71,0.001955,0,0,0,0.010127732,0,0.619243202,0,0,0.370629066,0,0,0
539,25.99999999,187,0.00201,0,0,0,4.26E-05,0,0.540149425,0,0,0.45980797,0,0,0
540,169,3117,0.002185,0,0,0,0.245306819,0,0.460400986,0.17027865,0,0.124013545,0,0,0
541,7.000000008,26,0.001665,0,0,0,0,0,1,0,0,0,0,0,0
542,3,8,0.00116,0,0,0,0,0,0.98778433,0,0,0.01221567,0,0,0
543,10.99999999,61,0.00187,0,0,0,0.039302979,0,0.759814086,0,0,0.200882935,0,0,0
544,16.99999999,98,0.00187,0,0,0,0.032924425,0,0.839853377,0,0,0.127222198,0,0,0
546,28.00000001,201,0.002185,0,0,0,0,0,0.777348488,0,0,0.222651512,0,0,0
549,43.00000001,298,0.00125,0,0,0,0.865713927,0,0.111945507,0.002415391,0,0.019925174,0,0,0
551,25.00000001,300,0.001595,0,0,0,0.19921358,0,0.753814086,0,0,0.046972334,0,0,0
552,31.99999999,297,0.00178,0,0,0,0.009387571,0,0.889213181,0,0,0.101399248,0,0,0
553,1.999999992,3,0.000375,0,0,0,0,0,1,0,0,0,0,0,0
554,31.99999999,288,0.001695,0,0,0,0.58466216,0,0.002207542,0.413037721,0,9.26E-05,0,0,0
556,48,533,0.001785,0,0,0,0,0,0.639611081,0,0,0.360388919,0,0,0
557,13.00000001,62,0.00091,0,0,0,0,0,0.275852398,0,0,0.724147602,0,0,0
562,30,418,0.000935,0,0,0,0.164458726,0,0,0.83521561,0,0.000325664,0,0,0
563,211,5892,0.00126,0,0,0,0.348798169,0,0.000597601,0.634787042,0,0.01581611,0,0,0
564,37.00000001,726,0.001015,0,0,0,0.271607621,0,0.000429859,0.665400361,0,0.062562159,0,0,0
565,37.00000001,367,0.00157,0,0,0,0.401055769,0,0.079597299,0.158187394,0,0.361159538,0,0,0
566,43.99999999,411,0.00156,0,0,0,0.427767372,0,0.078470187,0.153756433,0,0.340006008,0,0,0
568,13.00000001,78,0.001395,0,0,0,0.76002614,0,0.006159494,0.233283702,0,0.000530664,0,0,0
569,12,59,0.000955,0,0,0,0.308106797,0,0,0.691893203,0,0,0,0,0
570,18,91,0.00114,0,0,0,0.465088701,0,0.000237886,0.534673413,0,0,0,0,0
571,238,11752,0.001905,0,0,0,0.343936389,0,0.066980788,0.479961476,0,0.109076753,0,0,0
572,36,332,0.002865,0,0,0,0.241645927,0,0.54459238,0.010331528,0,0.203430165,0,0,0
573,255,12371,0.002005,0,0,0,0.333223864,0,0.095950321,0.455783514,0,0.11499998,0,0,0
574,18,91,0.002165,0,0,0,0.035047567,0,0.833664688,0.002677957,0,0.128609788,0,0,0
575,58.99999999,764,0.002495,0,0,0,0.021376428,0,0.414852426,0.020390285,0,0.542537074,0,0,0
579,43.99999999,542,0.002595,0,0,0,0.111405841,0,0.483765968,0.013281774,0,0.391546417,0,0,0
585,54,491,0.0028,0,0,0,0.499815962,0,0.499616959,0.000567079,0,0,0,0,0
586,76.99999999,769,0.003835,0,0,0,0.331822072,0,0.667816411,0.000361517,0,0,0,0,0
587,43.99999999,644,0.0025,0,0,0,0.845588017,0,0.153347343,0.00106464,0,0,0,0,0
588,70.00000001,911,0.00302,0,0,0,0.617568389,0,0.381409371,0.000751683,0,0,0,0,0
589,79.99999999,1557,0.003725,0,0,0,0.475719198,0,0.523536057,0.000438951,0,0,0,0,0
590,22.00000001,282,0.002035,0,0,0,0.871582382,0,0.119629464,0,0,0,0,0,0
591,73.00000001,1550,0.003315,0,0,0,0.36508603,0,0.630302875,0,0,0.000325393,0,0,0
592,70.00000001,1052,0.001635,0,0,0,0.954973957,0,0.041127886,0.001213159,0,0.000530791,0,0,0
593,108,1581,0.001765,0,0,0,0.910932147,0,0.079193809,0.000804875,0,0.000352155,0,0,0
594,154,2287,0.00183,0,0,0,0.683026996,0,0.300492923,0.000914271,0,0.008036039,0,0,0
595,37.00000001,426,0.00094,0,0,0,0.470234243,0,0,0.529182078,0,0.000583679,0,0,0
596,97.99999999,1534,0.001565,0,0,0,0.469941389,0,0.135324419,0.346796148,0,0.047938043,0,0,0
597,139,2795,0.00216,0,0,0,0.25959444,0,0.413677062,0.190038642,0,0.136689856,0,0,0
598,174,3267,0.002235,0,0,0,0.234899771,0,0.480603031,0.162361906,0,0.122135292,0,0,0
599,46.00000001,576,0.002465,0,0,0,0.00066583,0,0.791443464,0,0,0.207890706,0,0,0
600,188,4291,0.002415,0,0,0,0.181796484,0,0.559223114,0.1233213,0,0.135425114,0,0,0
601,61.00000001,1077,0.00134,0,0,0,0.743284685,0,0.179625006,0.048821405,0,0.028268903,0,0,0
